Time,010_Cond1_cell1,010_Cond1_cell2,010_Cond1_cell3,010_Cond1_cell4,011_Cond1_cell1,011_Cond1_cell2,011_Cond1_cell3,011_Cond1_cell4,011_Cond1_cell5,011_Cond1_cell6,013_Cond1_cell1,013_Cond1_cell2,013_Cond1_cell3,013_Cond1_cell4,014_Cond1_cell1,014_Cond1_cell2,014_Cond1_cell3,014_Cond1_cell4
-4.99965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3.9996,0.999455933,0.999020634,1.001744252,0.997102219,0.99772561,0.992211418,0.999742854,0.999485357,0.997020186,1.000754124,1.002037956,0.997947056,1.002578931,1.005017978,1.001233476,0.998791344,0.997304323,1.005721329
-2.9992,0.99929077,0.998926722,1.002845186,0.998038148,0.999134476,0.991925972,1.002920197,1.000361475,1.001174967,1.001887983,1.001501946,0.999181097,1.001532931,1.005586964,1.003279707,1.000759284,0.997009483,1.011122976
-1.9996,1.003866762,0.997444257,1.002679383,0.993124519,1.000319452,0.992823087,0.998559276,1.0011702,1.001962316,1.002337248,1.002188709,1.002667122,1.001070046,1.00369236,0.999297206,0.998396207,0.996865072,1.001750015
-0.9994,1.004192231,0.998289463,1.002745704,0.995009877,0.994899687,0.995297992,1.003765609,0.998431565,1.006310906,1.001117814,1.001775534,1.002678495,0.998707529,0.999788143,1.004933904,1.001146673,0.998610041,1.006614463
0,0.919618959,0.973154633,0.939495029,0.996634254,0.921040704,0.900159975,0.954752805,0.888751379,0.927945443,0.96662067,0.893166426,0.919423356,0.909070142,0.870948997,0.844271269,0.950592319,0.970142967,0.767066764
1.0003,0.968288666,1.028307709,0.989985476,1.037770148,0.899443553,0.923321832,0.980340631,0.876546992,0.928048404,0.973947971,0.990759404,1.00700617,0.99549138,0.960328317,0.970157531,0.981792685,1.045832531,0.92071543
2.0006,1.012455248,1.092469613,1.048096246,1.101845311,0.953518343,0.992409034,1.029395706,0.890950864,0.947792697,1.016553281,1.011669393,1.024874179,1.002903552,0.973306054,1.01813879,0.987804973,1.087994609,0.966070805
2.9998,1.029928543,1.11951622,1.070128199,1.155130288,1.0059085,1.053008156,1.074966976,0.907787036,0.962540352,1.064667437,1.041898147,1.054724331,1.011836632,0.989449536,1.051509574,0.991671122,1.114692645,0.993626123
4.0008,1.049242921,1.14718667,1.091112275,1.198988476,1.048665946,1.09782936,1.117276362,0.922380836,0.985652076,1.109037717,1.064734424,1.07579971,1.027869286,0.999031512,1.0794588,0.996397276,1.136721382,1.017559471
4.9997,1.061149244,1.164895758,1.103162865,1.242599184,1.083655516,1.139930991,1.156359089,0.938567578,1.012530964,1.149717605,1.079262539,1.100378174,1.036519826,1.011028655,1.103463773,0.999852792,1.15875012,1.037261144
6.0002,1.066793939,1.180196678,1.115578223,1.273781829,1.106669725,1.166976161,1.176155838,0.952628354,1.028211325,1.180807821,1.101127297,1.118371293,1.050995503,1.029496507,1.121301365,1.000612076,1.170002166,1.054421836
