"t","mean","sd","n","pred","condition"
0.0600351989269257,0.013659685643192,0.00209779279156644,5,0.0142280458786949,"SG-TPD54"
0.120070397853851,0.0280425257939588,0.00467354781575193,5,0.0273795071154673,"SG-TPD54"
0.180105596780777,0.0409100117017657,0.00723056075449429,5,0.0405309683522398,"SG-TPD54"
0.240140795707703,0.0532087277964979,0.00963565354464999,5,0.0536824295890123,"SG-TPD54"
0.300175994634628,0.0651487308698091,0.0125379164708069,5,0.0668338908257847,"SG-TPD54"
0.360211193561554,0.0772404679415411,0.0154136251446048,5,0.0799853520625572,"SG-TPD54"
0.42024639248848,0.0890884287531694,0.0181061830660428,5,0.0931368132993297,"SG-TPD54"
0.480281591415405,0.0987181610656661,0.0200013067865649,5,0.106288274536102,"SG-TPD54"
0.540316790342331,0.108812570506654,0.0229543577636546,5,0.119439735772875,"SG-TPD54"
0.600351989269257,0.117942605357399,0.0229233165495098,5,0.132591197009647,"SG-TPD54"
0.660387188196182,0.127203374083729,0.0241450163486902,5,0.14574265824642,"SG-TPD54"
0.720422387123108,0.136593967518739,0.0258764040892451,5,0.158894119483192,"SG-TPD54"
0.780457586050034,0.143406285082647,0.0275026702615109,5,0.172045580719964,"SG-TPD54"
0.840492784976959,0.152604468481375,0.0306932125620806,5,0.185197041956737,"SG-TPD54"
0.900527983903885,0.154957179692266,0.0330852906468918,4,0.198348503193509,"SG-TPD54"
0.960563182830811,0.149105546750754,0.0270212219528066,3,0.211499964430282,"SG-TPD54"
1.02059838175774,0.157495023389431,0.0278390200538813,3,0.224651425667054,"SG-TPD54"
0.0600351989269257,0.0252739845383742,0.00794558453955913,3,0.025028930166007,"SG-TPD54_F"
0.120070397853851,0.0406623257825274,0.01551765540585,9,0.041096089828518,"SG-TPD54_F"
0.180105596780777,0.0572956144659086,0.0210827829602746,9,0.057163249491029,"SG-TPD54_F"
0.240140795707703,0.0732867538522839,0.027654502764145,9,0.07323040915354,"SG-TPD54_F"
0.300175994634628,0.0896379010306537,0.0359751465294481,9,0.089297568816051,"SG-TPD54_F"
0.360211193561554,0.105680148155488,0.043510712108276,9,0.105364728478562,"SG-TPD54_F"
0.42024639248848,0.123590918444868,0.0533159306503907,9,0.121431888141073,"SG-TPD54_F"
0.480281591415405,0.137110339733744,0.0553162514863369,9,0.137499047803584,"SG-TPD54_F"
0.540316790342331,0.136610577524502,0.0653449419788312,7,0.153566207466095,"SG-TPD54_F"
0.600351989269257,0.135865421262994,0.0682472742975389,6,0.169633367128606,"SG-TPD54_F"
0.660387188196182,0.120353232225331,0.0375433804988327,4,0.185700526791117,"SG-TPD54_F"
0.720422387123108,0.130179773136613,0.0414613865293008,4,0.201767686453628,"SG-TPD54_F"
0.780457586050034,0.139105029984763,0.0454422824504558,4,0.217834846116139,"SG-TPD54_F"
