PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,(FIT) Velocity,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
1,2,12,6,17,DIRECTED/ACTIVE,3.142E-2,9.167E-6,7.560,2.100,1.602,0.650,0.013,0.128,0.195,1.600,0.891,-0.401,0.471,0.552,0.024,0.790,0.927,0.554
2,7,17,9,25,DIRECTED/ACTIVE,4.874E-2,0.416,7.052,2.706,1.420,0.892,0.084,0.415,0.538,1.095,1.095,2.646,0.594,-0.002,0.039,0.990,0.985,0.552
3,13,14,8,21,DIRECTED/ACTIVE,2.166E-2,0.492,2.031,3.063,1.380,0.917,0.085,0.385,0.370,1.042,1.385,0.857,0.647,-0.102,0.026,0.971,0.992,0.610
5,23,15,6,20,DIRECTED/ACTIVE,3.513E-2,0.618,5.021,3.077,1.364,0.812,0.158,0.449,0.652,1.671,1.178,-0.043,0.485,0.017,0.034,0.944,0.933,0.627
10,30,11,25,35,DIRECTED/ACTIVE,1.972E-2,2.062E-6,0.091,4.338,1.373,0.598,0.113,0.475,0.435,1.115,0.826,0.892,0.530,-0.039,0.013,0.812,0.982,0.584
11,36,11,10,20,DIRECTED/ACTIVE,1.195E-1,2.261E-5,1.080,4.371,1.490,0.634,0.074,0.315,0.841,2.111,0.883,0.068,0.447,-0.069,0.042,0.958,0.998,0.726
12,39,14,9,22,DIRECTED/ACTIVE,2.923E-2,0.840,5.997,4.717,1.287,0.818,0.126,0.464,0.585,1.302,1.463,1.391,0.564,-0.097,0.031,0.995,0.999,0.616
19,76,12,18,29,DIRECTED/ACTIVE,4.601E-3,0.515,2.110,5.467,1.394,0.563,0.046,0.275,0.195,1.518,1.145,-0.049,0.481,-0.036,0.013,0.923,0.917,0.634
21,88,18,14,31,DIRECTED/ACTIVE,9.705E-2,1.034,1.216,5.640,1.314,0.582,0.148,0.474,1.073,1.315,1.287,0.436,0.459,-0.082,0.060,0.966,0.989,0.603
21,90,13,61,73,DIRECTED/ACTIVE,1.201E-2,1.061,1.052,6.446,1.243,0.746,0.279,0.616,0.771,1.908,1.596,-0.179,0.557,-0.147,0.043,1.000,0.995,0.598
