PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) CONF. RADIUS,(FIT) A [CONF. SHAPE],(FIT) B (CONF SHAPE),(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
16,58,12,24,35,CONFINED,0.040,0.009,0.008,1.422E-12,4.620,5.217,3.775,1.000,0.017,0.172,0.087,1.458,1.180E-11,-0.267,0.014,0.709,0.013,-0.267,-0.105,0.676
26,111,13,103,115,CONFINED,0.069,0.018,0.050,1.798E-11,6.618,5.978,3.577,-0.227,0.004,0.075,0.080,2.076,0.047,-0.259,0.040,2.800,0.040,-0.222,-0.043,0.831
37,156,12,12,23,CONFINED,0.077,6591.465,535.457,4.631E-4,4.340,0.913,3.983,1.000,0.003,0.074,0.062,1.165,0.371,-0.003,0.062,1.315,0.025,0.996,0.616,0.655
42,164,10,46,55,CONFINED,0.101,0.872,0.272,5.994E-2,7.396,1.888,2.590,0.878,0.057,0.260,0.272,1.693,0.595,-0.331,0.349,0.311,0.029,1.000,0.996,0.840
56,203,11,74,84,CONFINED,0.059,0.014,0.017,1.615E-12,3.764,5.953,5.353,-0.227,0.004,0.069,0.068,1.837,2.840E-11,-0.408,0.003,1.333,0.030,-0.364,-0.125,0.811
112,301,15,54,68,CONFINED,0.559,0.977,3.875E-6,1.742E2,3.565,3.192,3.567,-0.227,0.007,0.103,0.137,1.768,0.180,0.231,0.040,0.181,0.049,-0.161,-0.008,0.847
126,327,14,39,52,CONFINED,0.057,0.014,0.011,8.754E-12,3.100,6.206,4.325,0.989,0.000,0.000,0.000,2.015,0.005,-0.051,0.016,1.800,0.029,-0.211,-0.083,0.818
131,350,11,47,57,CONFINED,0.064,0.008,0.009,5.066E-12,4.338,1.356,4.710,0.974,0.004,0.073,0.068,1.405,1.415E-11,-0.256,0.049,1.333,0.032,-0.364,-0.125,0.780
168,407,11,70,80,CONFINED,0.257,1.366,0.238,7.775E-1,6.716,0.996,2.085,0.994,0.034,0.237,0.456,1.594,0.588,0.432,0.040,0.240,0.035,1.000,0.543,0.656
187,436,10,108,117,CONFINED,0.082,0.018,7.290E-7,1.115E-3,4.332,6.940,3.285,-0.227,0.003,0.060,0.076,1.333,0.039,-0.136,0.063,0.233,0.042,-0.444,-0.103,0.747
203,493,11,92,102,CONFINED,0.055,0.015,0.009,1.767E-11,7.375,1.262,4.432,-0.227,0.008,0.106,0.096,2.182,3.768E-11,-0.201,9.616E-4,2.000,0.031,-0.364,-0.125,0.720
225,541,12,95,106,CONFINED,0.071,0.019,0.016,2.016E-10,4.213,4.343,3.207,-0.227,0.002,0.061,0.062,1.907,0.254,-0.072,0.031,0.861,0.042,-0.267,0.204,0.801
251,583,15,117,131,CONFINED,0.057,0.011,0.011,1.608E-12,2.936,5.336,3.693,-0.227,0.007,0.103,0.097,2.852,1.675E-12,-0.309,0.022,4.943,0.037,-0.167,-0.071,0.687
260,612,21,190,210,CONFINED,0.074,0.013,0.013,4.385E-12,1.240,6.069,2.975,-0.227,4.535E-4,0.025,0.034,2.972,4.481E-12,0.578,0.108,4.000,0.035,-0.091,-0.042,0.762
331,739,15,201,215,CONFINED,11.368,1.000,5.647E-4,1.076E1,4.107,0.525,2.922,0.062,0.021,0.167,0.146,1.830,0.359,-0.145,0.132,0.629,0.027,0.647,0.439,0.740
383,858,11,233,243,CONFINED,0.085,0.759,5.631,5.278E-3,4.065,0.556,3.633,0.865,0.028,0.188,0.215,1.408,0.241,-0.401,0.015,0.440,0.035,1.000,0.900,0.697
391,873,10,273,282,CONFINED,0.137,0.017,0.017,6.231E-12,6.580,5.708,3.359,-0.072,0.002,0.050,0.107,1.943,1.227E-10,-0.010,0.080,5.578,0.073,-0.444,-0.143,0.768
