ID,LENGTH,START,END,#SEG_NORM,#POS_NORM,#SEG_SUB,#POS_SUB,#SEG_CONF,#POS_CONF,#SEG_DIRECTED,#POS_DIRECTED
354,19,200,218,1,14,0,0,0,0,0,0
355,88,200,287,0,0,1,59,0,0,1,19
357,30,202,231,1,20,0,0,0,0,0,0
361,34,205,238,1,14,0,0,0,0,0,0
362,44,207,250,1,30,1,13,0,0,0,0
364,12,209,220,1,12,0,0,0,0,0,0
365,15,209,223,1,11,0,0,0,0,0,0
366,14,214,227,1,11,0,0,0,0,0,0
367,40,213,252,0,0,1,27,0,0,0,0
369,12,216,227,1,11,0,0,0,0,0,0
370,19,216,234,1,18,0,0,0,0,0,0
373,65,221,285,1,57,0,0,0,0,0,0
375,26,222,247,1,24,0,0,0,0,0,0
377,60,219,278,1,33,0,0,0,0,1,17
378,18,222,239,0,0,0,0,0,0,0,0
379,24,225,248,1,24,0,0,0,0,0,0
380,13,226,238,1,13,0,0,0,0,0,0
383,17,227,243,0,0,0,0,1,11,0,0
385,18,229,246,0,0,0,0,0,0,1,14
386,29,230,258,0,0,1,26,0,0,0,0
388,28,229,256,1,15,0,0,0,0,1,13
389,12,229,240,1,12,0,0,0,0,0,0
390,20,229,248,0,0,1,19,0,0,0,0
391,60,232,291,1,40,0,0,1,10,0,0
392,16,233,248,1,12,0,0,0,0,0,0
393,19,234,252,1,14,0,0,0,0,0,0
396,20,236,255,1,20,0,0,0,0,0,0
397,35,236,270,1,19,0,0,0,0,1,15
398,61,233,293,2,26,0,0,0,0,2,29
399,21,237,257,0,0,1,21,0,0,0,0
400,34,244,277,1,25,0,0,0,0,0,0
402,29,244,272,1,25,0,0,0,0,0,0
403,11,243,253,0,0,1,11,0,0,0,0
406,25,244,268,1,22,0,0,0,0,0,0
408,14,245,258,0,0,1,14,0,0,0,0
409,47,242,288,1,40,0,0,0,0,0,0
413,38,246,283,1,38,0,0,0,0,0,0
415,11,251,261,0,0,0,0,0,0,1,11
416,17,251,267,0,0,0,0,0,0,1,16
417,38,251,288,1,38,0,0,0,0,0,0
418,27,251,277,1,12,1,15,0,0,0,0
419,14,251,264,0,0,1,12,0,0,0,0
420,33,254,286,1,25,0,0,0,0,0,0
421,13,254,266,1,13,0,0,0,0,0,0
423,29,250,278,0,0,1,28,0,0,0,0
425,30,256,285,1,30,0,0,0,0,0,0
427,15,256,270,1,13,0,0,0,0,0,0
428,18,263,280,1,18,0,0,0,0,0,0
430,22,266,287,1,13,0,0,0,0,0,0
431,27,266,292,0,0,1,23,0,0,0,0
433,15,268,282,1,15,0,0,0,0,0,0
434,30,269,298,1,14,0,0,0,0,0,0
435,18,264,281,0,0,1,11,0,0,0,0
436,24,271,294,1,12,1,12,0,0,0,0
437,12,265,276,0,0,0,0,0,0,1,12
439,12,268,279,0,0,1,12,0,0,0,0
442,20,274,293,0,0,1,19,0,0,0,0
444,13,275,287,1,13,0,0,0,0,0,0
445,21,278,298,0,0,0,0,0,0,1,12
446,11,277,287,0,0,1,11,0,0,0,0
447,16,279,294,1,16,0,0,0,0,0,0
449,12,277,288,1,12,0,0,0,0,0,0
450,11,285,295,1,11,0,0,0,0,0,0
451,14,280,293,1,12,0,0,0,0,0,0
453,13,283,295,1,13,0,0,0,0,0,0
455,12,280,291,1,12,0,0,0,0,0,0
459,12,281,292,1,12,0,0,0,0,0,0
