"Time","value","name"
0,0.991435806473305,"Cond1"
0.4995,1.01441035828698,"Cond1"
0.9995,1.03457629698465,"Cond1"
1.5001,1.05227793643815,"Cond1"
2.0005,1.06779074080968,"Cond1"
2.5001,1.0813708154141,"Cond1"
2.9995,1.09327481267836,"Cond1"
3.5008,1.10375121359493,"Cond1"
4.0005,1.11290650920202,"Cond1"
4.4996,1.12092561724753,"Cond1"
4.9995,1.12796909967465,"Cond1"
5.5004,1.13415664822852,"Cond1"
6,1.13956752392535,"Cond1"
6.5007,1.14432213151089,"Cond1"
7.0002,1.14848092516394,"Cond1"
7.5,1.15212994465433,"Cond1"
8,1.15533082408725,"Cond1"
8.5,1.15813740151337,"Cond1"
9.0004,1.16060009124621,"Cond1"
9.5008,1.1627591861771,"Cond1"
10.0009,1.16465105091103,"Cond1"
10.4995,1.16630516537677,"Cond1"
11,1.1677612239175,"Cond1"
11.5005,1.1690377493026,"Cond1"
11.9995,1.17015373930135,"Cond1"
12.5004,1.17113599958762,"Cond1"
12.9996,1.1719943211186,"Cond1"
13.5,1.17274876124656,"Cond1"
13.9994,1.17340895877942,"Cond1"
14.5007,1.17398998159763,"Cond1"
15.0004,1.17449773571067,"Cond1"
15.5003,1.17494314373422,"Cond1"
16.0001,1.17533362110074,"Cond1"
16.5003,1.1756762717139,"Cond1"
17.0007,1.17597680932753,"Cond1"
17.5004,1.17623995244119,"Cond1"
18.0003,1.1764707847499,"Cond1"
18.4995,1.17667292195452,"Cond1"
18.9995,1.17685046189438,"Cond1"
19.4994,1.17700610235121,"Cond1"
20.0001,1.17714277808335,"Cond1"
20.4997,1.17726234897159,"Cond1"
21.0002,1.1773673782147,"Cond1"
21.5004,1.17745940562758,"Cond1"
21.9994,1.17753991120283,"Cond1"
22.4995,1.1776106638569,"Cond1"
23.0005,1.17767280362728,"Cond1"
23.5004,1.17772716244555,"Cond1"
23.9995,1.17777475491554,"Cond1"
24.5005,1.17781664321981,"Cond1"
24.9996,1.17785323152138,"Cond1"
25.4994,1.17788536237914,"Cond1"
26.0003,1.17791359467674,"Cond1"
26.4994,1.17793826008011,"Cond1"
26.9994,1.17795992868129,"Cond1"
27.5003,1.17797896002088,"Cond1"
27.9994,1.17799558692367,"Cond1"
28.5003,1.17801021828658,"Cond1"
28.9994,1.17802300110975,"Cond1"
29.5,1.17803424345121,"Cond1"
30.0008,1.17804410302813,"Cond1"
30.4998,1.1780527171574,"Cond1"
30.9994,1.17806028063734,"Cond1"
31.4996,1.17806692055658,"Cond1"
31.9993,1.17807273678233,"Cond1"
32.5003,1.17807784934925,"Cond1"
33.0008,1.17808232675868,"Cond1"
33.5,1.17808624255882,"Cond1"
34.0001,1.1780896825046,"Cond1"
34.5005,1.17809270031245,"Cond1"
34.9994,1.17809533866963,"Cond1"
35.4998,1.17809765919829,"Cond1"
35.9994,1.17809969061387,"Cond1"
36.4998,1.17810147464472,"Cond1"
37.0007,1.1781030402065,"Cond1"
37.5007,1.17810441028163,"Cond1"
37.9998,1.17810560955978,"Cond1"
38.4993,1.17810666214189,"Cond1"
39.0002,1.17810758760295,"Cond1"
39.5006,1.17810839811091,"Cond1"
40.0003,1.17810910777113,"Cond1"
40.4995,1.17810972947787,"Cond1"
40.9993,1.17811027532723,"Cond1"
41.5002,1.17811075494659,"Cond1"
42,1.17811117452033,"Cond1"
42.5005,1.17811154291012,"Cond1"
42.9993,1.17811186485054,"Cond1"
43.5008,1.17811214865156,"Cond1"
44.0002,1.17811239641959,"Cond1"
44.4993,1.17811261357831,"Cond1"
45.0002,1.17811280467391,"Cond1"
45.4996,1.17811297172022,"Cond1"
