 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
151,1541.421,3127.704,102.399,2438.586
152,1536.906,3124.625,102.195,2442.454
153,1543.480,3121.621,102.207,2441.018
154,1543.182,3116.899,102.094,2442.078
155,1544.533,3123.100,102.307,2438.028
156,1538.995,3113.481,102.347,2434.316
157,1537.642,3107.519,102.253,2441.808
158,1538.009,3108.374,102.218,2442.961
159,1535.406,3107.553,102.240,2445.014
160,1536.164,3108.475,102.317,2439.311
161,1538.580,3112.312,102.193,2440.767
162,1540.824,3114.822,102.257,2438.325
163,1539.745,3114.677,102.397,2423.361
164,1542.516,3119.057,102.178,2425.525
165,1541.303,3114.018,102.299,2428.368
166,1540.228,3109.765,102.278,2423.301
167,1538.340,3108.056,102.207,2435.591
168,1540.519,3109.991,102.160,2439.705
169,1538.700,3109.921,102.261,2439.861
170,1542.452,3115.148,102.289,2439.152
171,1542.480,3119.849,102.165,2429.191
172,1542.159,3114.576,102.282,2429.110
173,1543.143,3113.212,102.134,2424.503
174,1538.817,3104.345,102.295,2421.983
175,1538.063,3107.025,102.269,2419.598
176,1539.641,3113.217,102.286,2426.572
177,1541.143,3108.632,102.164,2421.913
178,1539.796,3113.879,102.085,2425.378
179,1541.194,3109.079,102.206,2424.980
180,1540.555,3103.729,102.151,2429.537
181,1536.129,3109.221,102.159,2423.230
182,1540.977,3108.696,102.274,2419.380
183,1541.901,3108.956,102.205,2421.289
184,1537.045,3102.006,102.280,2420.965
185,1537.245,3098.038,102.350,2418.508
186,1542.489,3102.746,102.155,2410.472
187,1538.656,3096.877,102.265,2419.844
188,1541.688,3097.380,102.156,2411.599
189,1548.068,3104.813,102.080,2404.621
190,1544.019,3105.585,102.198,2407.330
191,1536.571,3105.414,102.419,2408.817
192,1536.225,3103.262,102.452,2409.673
193,1535.212,3092.475,102.172,2412.577
194,1536.597,3103.661,102.039,2414.743
195,1538.012,3105.501,102.165,2408.089
196,1532.786,3102.828,102.218,2411.703
197,1532.708,3093.695,102.163,2407.872
198,1531.494,3101.356,102.305,2402.350
199,1534.804,3105.049,102.057,2398.293
200,1536.593,3104.062,102.495,2405.238
201,1538.034,3093.550,102.159,2404.144
202,1536.992,3103.799,102.151,2402.649
203,1540.352,3096.839,102.029,2395.017
204,1536.918,3100.351,102.115,2403.924
205,1536.583,3105.298,102.122,2398.840
206,1540.973,3104.000,102.229,2399.470
207,1537.772,3096.419,101.874,2399.047
