 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,1557.710,946.427,103.849,3124.079
2,1543.847,933.916,104.033,3089.323
3,1522.956,922.186,103.968,3076.453
4,824.993,618.281,103.819,3026.310
5,1105.477,723.112,103.804,3032.526
6,1198.622,762.371,103.819,3029.026
7,1237.568,781.128,103.911,3009.019
8,1275.406,800.075,103.871,3022.303
9,1302.580,810.712,103.890,3028.079
10,1317.448,818.877,103.696,3044.420
11,1323.017,823.263,103.655,3030.039
12,1328.730,826.426,103.919,3010.677
13,1329.587,830.294,103.740,3007.564
14,1330.900,828.249,103.787,2994.245
15,1334.727,833.898,103.828,2992.643
16,1339.906,837.983,103.839,2990.641
17,1344.390,838.273,103.734,2989.111
18,1345.814,835.893,103.811,2992.472
19,1349.875,840.328,103.608,2995.416
20,1354.946,846.284,103.934,2996.426
21,1360.882,842.768,103.857,3007.837
22,1363.866,844.518,103.652,2999.553
23,1362.820,849.385,103.826,3008.937
24,1365.041,846.522,103.629,2997.509
25,1367.828,846.849,103.696,3001.343
26,1370.488,845.980,103.690,2997.142
27,1369.099,844.285,103.856,3002.633
28,1371.916,843.611,103.904,3003.099
29,1372.923,844.450,103.636,3004.230
30,1379.759,846.302,103.624,3003.520
31,1379.576,848.195,103.747,3005.838
32,1379.940,851.056,103.768,2999.805
33,1386.052,847.810,103.698,3005.992
34,1380.690,847.716,103.859,3001.428
35,1383.181,845.606,103.718,3002.339
36,1386.088,847.625,103.676,3001.031
37,1382.917,846.453,103.701,3004.896
38,1386.316,849.026,103.703,3009.838
39,1385.970,849.895,103.687,3013.593
40,1387.350,848.256,103.587,3003.505
41,1387.537,850.032,103.469,3015.333
42,1388.629,851.372,103.480,3010.920
43,1388.434,853.862,103.877,3015.123
44,1390.095,849.412,103.747,3019.841
45,1392.671,851.111,103.806,3012.307
46,1391.675,851.865,103.782,3014.969
47,1393.543,851.884,103.752,3016.830
48,1398.124,850.146,103.763,3023.643
49,1394.545,851.364,103.603,3021.460
50,1402.208,856.202,103.713,3023.951
51,1398.733,852.109,103.761,3027.341
52,1401.663,853.218,103.615,3025.325
53,1400.817,851.193,103.673,3020.297
54,1399.774,852.867,103.892,3033.967
55,1406.644,853.608,103.656,3029.338
56,1400.141,854.158,103.663,3034.881
57,1399.688,852.627,103.382,3025.058
58,1402.379,854.101,103.668,3027.839
59,1400.529,848.835,103.723,3022.138
60,1393.139,853.879,103.470,3031.420
61,1400.424,851.535,103.758,3024.455
62,1399.901,852.782,103.684,3026.011
63,1404.028,851.838,103.545,3024.523
64,1403.419,850.342,103.582,3030.258
65,1400.456,852.067,103.678,3023.850
66,1404.964,851.700,103.730,3026.345
67,1408.687,851.946,103.661,3021.928
68,1405.893,848.926,103.740,3021.285
69,1407.489,849.266,103.430,3020.696
70,1413.983,850.336,103.669,3021.441
71,1407.834,848.554,103.375,3023.140
72,1408.315,847.813,103.709,3021.129
73,1405.490,848.869,103.629,3021.916
74,1405.977,850.556,103.519,3020.780
75,1409.351,849.894,103.742,3028.301
76,1408.914,849.864,103.617,3021.490
77,1406.914,848.123,103.455,3012.644
78,1410.202,847.971,103.394,3019.603
79,1407.921,850.216,103.505,3019.100
80,1405.890,846.256,103.617,3019.069
81,1404.139,844.426,103.643,3017.552
82,1406.549,845.642,103.531,3019.911
83,1406.055,844.727,103.670,3019.433
84,1405.096,846.385,103.570,3021.965
85,1404.132,847.650,103.506,3016.831
86,1404.564,844.767,103.507,3014.137
87,1404.572,845.314,103.612,3010.292
88,1404.099,844.245,103.648,3006.925
89,1406.202,846.595,103.707,3016.029
90,1404.074,847.280,103.702,3014.408
91,1404.965,844.881,103.329,3018.151
92,1407.675,844.091,103.635,3012.510
93,1401.910,843.252,103.708,3009.280
94,1408.071,846.376,103.472,3006.827
95,1407.149,844.476,103.607,3007.870
96,1403.768,846.465,103.559,3003.536
97,1405.241,842.789,103.640,3002.294
98,1409.498,840.535,103.610,3000.677
99,1408.389,841.499,103.394,3004.960
100,1404.340,840.229,103.557,3007.277
101,1403.216,843.638,103.580,3008.059
102,1405.188,841.590,103.635,3002.075
103,1406.746,840.669,103.623,3008.386
104,1409.045,843.877,103.599,3013.471
105,1403.627,841.795,103.573,3003.346
106,1399.125,843.070,103.581,2999.817
107,1401.017,841.854,103.486,3002.922
108,1401.719,843.836,103.591,3003.239
109,1402.222,843.483,103.754,3003.194
110,1399.101,843.151,103.544,3001.238
111,1397.214,844.151,103.648,3000.476
112,1391.594,842.881,103.556,3002.356
113,1394.629,842.145,103.553,3002.501
114,1394.877,842.907,103.665,2990.475
115,1393.089,839.128,103.676,2993.398
116,1395.577,842.482,103.759,3000.320
117,1392.664,844.965,103.700,2998.374
118,1390.994,845.044,103.515,2994.045
119,1393.490,845.239,103.446,2990.529
120,1393.664,839.778,103.380,2989.135
121,1395.305,840.816,103.635,2986.648
122,1390.521,839.417,103.455,2984.258
123,1391.113,838.667,103.656,2985.521
124,1392.274,840.194,103.629,2986.672
125,1393.036,839.906,103.519,2974.853
126,1395.188,840.209,103.675,2983.106
127,1391.580,838.100,103.429,2980.398
128,1392.560,840.358,103.585,2976.947
129,1394.911,839.509,103.527,2974.181
130,1391.183,839.392,103.774,2970.771
131,1389.694,837.895,103.652,2970.997
132,1389.896,835.471,103.698,2971.842
133,1386.363,835.706,103.473,2971.525
134,1384.071,838.092,103.653,2975.210
135,1387.211,840.785,103.485,2973.453
136,1386.201,838.156,103.694,2970.918
137,1387.089,835.568,103.659,2966.777
138,1387.785,835.437,103.453,2970.063
139,1386.410,836.807,103.808,2972.572
140,1383.139,834.624,103.626,2966.981
141,1381.370,836.619,103.596,2964.078
142,1381.533,835.219,103.582,2960.964
143,1376.659,833.758,103.715,2965.722
144,1377.809,834.262,103.772,2954.704
145,1377.991,835.195,103.590,2954.733
146,1379.427,836.374,103.705,2955.371
147,1379.784,835.642,103.541,2960.830
148,1384.204,836.287,103.637,2958.216
149,1383.202,837.244,103.419,2967.320
150,1379.377,832.595,103.455,2956.737
151,1380.104,834.606,103.535,2956.439
152,1376.930,838.426,103.683,2953.992
153,1380.091,837.718,103.339,2951.850
154,1371.927,838.960,103.739,2950.595
155,1378.589,839.423,103.456,2952.057
156,1373.853,836.118,103.568,2950.840
157,1379.357,839.229,103.533,2946.367
158,1379.953,838.575,103.382,2948.297
159,1378.833,838.783,103.487,2949.293
160,1374.215,843.459,103.475,2946.418
161,1373.451,841.385,103.466,2947.728
162,1371.891,841.132,103.443,2946.355
163,1367.697,838.870,103.465,2949.014
164,1368.593,840.106,103.430,2940.088
165,1367.974,842.257,103.470,2947.841
166,1369.860,842.771,103.568,2942.994
167,1366.665,844.002,103.542,2940.818
168,1367.635,843.091,103.528,2948.845
169,1370.936,844.262,103.410,2941.380
170,1366.052,841.476,103.503,2949.487
171,1371.248,841.931,103.594,2943.100
172,1369.539,841.441,103.524,2947.800
173,1371.740,841.326,103.577,2944.552
174,1368.343,840.940,103.391,2947.478
175,1369.873,839.408,103.411,2938.911
176,1369.810,842.089,103.495,2946.271
177,1361.755,842.229,103.597,2945.896
178,1362.063,839.276,103.694,2947.238
179,1362.572,838.924,103.604,2940.759
180,1362.492,837.322,103.580,2935.050
181,1359.346,839.309,103.641,2930.194
182,1359.264,839.042,103.450,2932.760
183,1359.375,840.214,103.523,2932.260
184,1361.327,836.990,103.538,2930.719
185,1359.632,837.770,103.553,2935.092
186,1359.496,834.878,103.563,2928.284
187,1359.696,838.697,103.566,2928.522
188,1358.408,837.391,103.531,2925.679
189,1363.544,836.129,103.488,2929.435
190,1363.912,832.947,103.797,2926.438
191,1364.246,835.782,103.482,2925.045
192,1362.742,833.412,103.518,2926.490
193,1366.611,834.934,103.486,2926.996
194,1364.623,831.884,103.463,2927.956
195,1364.712,833.190,103.636,2925.589
196,1365.821,834.746,103.549,2927.558
197,1366.938,834.780,103.654,2929.019
198,1364.923,834.042,103.471,2930.320
199,1361.816,834.316,103.687,2930.337
200,1358.254,834.536,103.465,2927.279
201,1357.474,834.034,103.565,2928.052
202,1354.403,832.672,103.667,2928.456
203,1354.758,833.557,103.496,2930.094
204,1358.632,830.377,103.543,2924.909
205,1360.465,831.436,103.700,2928.003
206,1355.673,830.494,103.797,2926.166
207,1360.382,833.190,103.477,2925.416
