 ,Time(s)
1,0.032
2,1.032
3,2.033
4,2.327
5,2.474
6,2.620
7,2.767
8,2.914
9,3.061
10,3.208
11,3.355
12,3.502
13,3.649
14,3.796
15,3.943
16,4.090
17,4.237
18,4.384
19,4.531
20,4.679
21,4.826
22,4.973
23,5.121
24,5.268
25,5.414
26,5.561
27,5.709
28,5.855
29,6.002
30,6.149
31,6.297
32,6.443
33,6.591
34,6.738
35,6.885
36,7.032
37,7.180
38,7.327
39,7.474
40,7.621
41,7.768
42,7.915
43,8.062
44,8.209
45,8.357
46,8.504
47,8.651
48,8.798
49,8.944
50,9.092
51,9.238
52,9.385
53,9.532
54,9.680
55,9.827
56,9.977
57,10.124
58,10.271
59,10.418
60,10.565
61,10.712
62,10.860
63,11.007
64,11.154
65,11.301
66,11.448
67,11.595
68,11.742
69,11.889
70,12.036
71,12.184
72,12.330
73,12.477
74,12.625
75,12.772
76,12.919
77,13.066
78,13.214
79,13.361
80,13.508
81,13.655
82,13.802
83,13.949
84,14.096
85,14.243
86,14.390
87,14.538
88,14.685
89,14.832
90,14.979
91,15.126
92,15.273
93,15.420
94,15.567
95,15.715
96,15.861
97,16.009
98,16.156
99,16.304
100,16.451
101,16.598
102,16.745
103,16.892
104,17.039
105,17.186
106,17.334
107,17.481
108,17.628
109,17.775
110,17.922
111,18.069
112,18.217
113,18.364
114,18.511
115,18.658
116,18.805
117,18.952
118,19.100
119,19.247
120,19.393
121,19.541
122,19.688
123,19.835
124,19.982
125,20.129
126,20.276
127,20.424
128,20.571
129,20.718
130,20.865
131,21.012
132,21.160
133,21.307
134,21.454
135,21.601
136,21.748
137,21.895
138,22.043
139,22.190
140,22.337
141,22.484
142,22.631
143,22.778
144,22.925
145,23.072
146,23.220
147,23.367
148,23.514
149,23.661
150,23.809
151,23.956
152,24.103
153,24.251
154,24.398
155,24.545
156,24.692
157,24.839
158,24.986
159,25.134
160,25.281
161,25.428
162,25.575
163,25.722
164,25.870
165,26.017
166,26.164
167,26.311
168,26.458
169,26.606
170,26.753
171,26.900
172,27.048
173,27.195
174,27.342
175,27.490
176,27.637
177,27.784
178,27.931
179,28.078
180,28.226
181,28.373
182,28.520
183,28.667
184,28.814
185,28.962
186,29.109
187,29.256
188,29.403
189,29.550
190,29.697
191,29.844
192,29.992
193,30.139
194,30.322
195,30.469
196,30.616
197,30.763
198,30.911
199,31.058
200,31.205
201,31.352
202,31.499
203,31.646
204,31.794
205,31.941
206,32.088
207,32.235
