PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,(FIT) Velocity,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
2,5,34,15,48,DIRECTED/ACTIVE,4.17E-2,0.580,2.069,5.999,1.596,0.859,0.009,0.132,0.185,1.449,1.137,1.729,0.331,-0.023,0.022,0.994,0.985,0.615
5,12,16,4,19,DIRECTED/ACTIVE,1.452E-1,9.886E-6,7.605,6.280,1.271,0.847,0.106,0.509,0.973,1.549,1.143,2.033,0.292,-0.041,0.045,0.963,0.985,0.666
6,13,20,0,19,DIRECTED/ACTIVE,3.83E-2,1.922E-6,5.424,6.610,1.541,0.953,0.011,0.126,0.148,2.000,1.284,0.110,0.338,-0.034,0.026,0.950,0.972,0.577
11,35,39,9,47,DIRECTED/ACTIVE,3.694E-2,0.285,5.793,7.132,1.652,0.820,0.031,0.213,0.323,2.945,0.925,0.388,0.063,0.139,0.032,0.883,0.952,0.598
12,36,11,0,10,DIRECTED/ACTIVE,1.7E-2,0.608,2.665,7.429,1.252,0.769,0.146,0.509,0.495,1.770,1.126,-0.284,0.317,-0.060,0.027,1.000,0.974,0.631
16,44,14,16,29,DIRECTED/ACTIVE,4.21E-2,6.483E-6,3.989,7.660,1.312,0.753,0.165,0.501,0.702,1.334,0.829,-0.068,0.585,-0.115,0.006,0.784,0.834,0.672
19,48,26,0,25,DIRECTED/ACTIVE,1.974E-2,0.474,3.245,1.209,1.341,0.436,0.103,0.376,0.439,2.257,1.221,8.148E-4,0.309,-0.060,0.020,0.919,0.979,0.659
22,55,24,6,29,DIRECTED/ACTIVE,1.796E-2,0.381,3.093,1.708,1.491,0.454,0.050,0.269,0.273,1.410,1.219,-0.054,0.089,-0.033,0.021,0.947,0.962,0.593
30,80,13,3,15,DIRECTED/ACTIVE,4.533E-3,1.515E-5,4.966,2.508,1.550,-0.227,0.115,0.414,0.240,1.634,0.686,-0.333,0.401,0.086,0.017,0.328,0.685,0.547
33,92,23,21,43,DIRECTED/ACTIVE,2.71E-2,9.530E-6,5.323,2.327,1.531,0.833,0.036,0.228,0.249,1.755,1.092,0.173,0.069,-0.011,0.020,0.992,0.992,0.623
