PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
302,719,14,104,117,NORM. DIFFUSION,1.972E-2,4.383,1.371,1.647,0.886,0.040,0.264,0.431,1.254,0.503,0.791,0.595,0.169,0.038,0.255,0.468,0.563
305,721,11,105,115,NORM. DIFFUSION,9.042E-2,1.491,6.258,1.528,0.696,0.025,0.210,0.456,1.275,0.855,1.689,0.415,0.385,0.044,0.977,0.978,0.550
314,746,28,112,139,NORM. DIFFUSION,1.531E-2,3.130,7.043,2.169,0.991,0.017,0.160,0.203,1.634,0.660,0.781,0.108,0.343,0.025,0.518,0.719,0.644
317,756,13,107,119,NORM. DIFFUSION,4.483E-2,6.286,3.034,1.538,0.632,0.114,0.387,0.578,1.403,1.069,-0.122,0.299,-0.021,0.028,0.893,0.948,0.643
321,765,21,113,133,NORM. DIFFUSION,2.146E-2,4.219,3.305,1.996,0.992,3.871E-4,0.023,0.034,1.514,0.747,-0.268,0.179,0.217,0.038,0.627,0.811,0.676
324,770,11,111,121,NORM. DIFFUSION,9.696E-2,3.025,6.505,1.725,0.965,0.076,0.333,0.680,1.039,1.138,-0.100,0.261,-0.015,0.056,0.983,0.989,0.746
325,771,20,112,131,NORM. DIFFUSION,2.964E-2,6.312,6.938,1.577,0.889,0.040,0.247,0.453,2.056,0.614,0.663,0.222,0.107,0.033,0.567,0.676,0.538
326,774,13,112,124,NORM. DIFFUSION,9.852E-2,7.520,4.849,1.790,0.928,0.013,0.140,0.234,1.483,1.304,-0.214,0.380,0.237,0.046,0.954,0.980,0.627
328,775,31,108,138,NORM. DIFFUSION,2.817E-2,2.721,5.663,2.186,0.989,0.004,0.084,0.183,1.641,0.436,0.951,0.044,0.290,0.036,0.747,0.794,0.630
329,781,15,117,131,NORM. DIFFUSION,2.926E-2,4.421,1.477,2.120,0.962,0.014,0.138,0.217,1.921,0.787,-0.283,0.101,0.098,0.029,0.973,0.991,0.655
330,789,16,124,139,NORM. DIFFUSION,1.005E-1,2.833,1.348,1.682,0.379,0.080,0.333,0.855,1.772,0.766,0.120,0.241,-0.001,0.056,0.818,0.837,0.573
331,794,26,113,138,NORM. DIFFUSION,1.022E-1,4.505,2.574,1.575,0.890,0.038,0.252,0.617,1.337,0.935,0.443,0.426,0.011,0.061,0.712,0.890,0.621
332,795,13,116,128,NORM. DIFFUSION,2.755E-2,5.105,2.446,1.763,0.895,0.019,0.160,0.170,1.787,1.102,-0.083,0.332,0.068,0.012,0.924,0.972,0.656
333,800,26,124,149,NORM. DIFFUSION,1.246E-2,1.368,3.528,2.299,0.879,0.000,0.000,0.000,2.760,0.398,0.681,0.009,0.843,0.029,0.478,0.401,0.673
341,811,35,125,159,NORM. DIFFUSION,1.602E-2,3.734,5.281,2.162,0.999,0.004,0.081,0.102,2.336,0.612,0.834,0.018,0.142,0.024,0.455,0.597,0.599
341,813,19,196,214,NORM. DIFFUSION,4.181E-2,3.813,5.349,1.806,0.209,6.925E-4,0.032,0.053,2.042,0.825,0.057,0.287,0.072,0.033,0.543,0.664,0.584
341,816,37,230,266,NORM. DIFFUSION,6.731E-3,3.594,5.835,2.006,0.997,0.002,0.065,0.084,3.914,0.361,0.359,0.111,0.236,0.005,0.152,0.275,0.589
343,820,10,153,162,NORM. DIFFUSION,1.927E-1,1.604,6.148,1.730,0.744,0.005,0.096,0.239,1.945,1.029,0.320,0.412,-0.043,0.037,0.846,0.850,0.628
344,822,39,128,166,NORM. DIFFUSION,3.501E-2,7.538,4.539,2.017,0.965,0.005,0.093,0.177,2.383,0.656,0.507,0.151,0.051,0.031,0.731,0.865,0.569
346,824,12,124,135,NORM. DIFFUSION,1.749E-2,6.937,1.343,1.960,0.849,0.080,0.309,0.437,2.197,0.670,-0.273,0.317,0.178,0.024,0.905,0.937,0.578
349,827,18,128,145,NORM. DIFFUSION,6.027E-2,1.224,6.211,1.853,-0.122,0.005,0.089,0.179,2.250,0.648,0.433,0.096,-0.011,0.054,0.639,0.654,0.544
351,830,11,128,138,NORM. DIFFUSION,2.507E-2,2.164,6.262,2.285,0.845,0.026,0.194,0.192,1.352,1.033,-0.354,0.079,0.733,0.018,0.798,0.801,0.538
358,843,19,127,145,NORM. DIFFUSION,1.333E-1,6.347,2.128,1.606,0.817,0.041,0.259,0.586,3.031,1.027,0.197,0.118,-0.040,0.030,0.899,0.941,0.592
361,848,20,127,146,NORM. DIFFUSION,5.021E-2,0.472,7.234,2.280,0.999,0.021,0.167,0.289,2.325,1.020,-0.037,2.397E-4,0.023,0.030,0.793,0.924,0.690
365,851,13,155,167,NORM. DIFFUSION,3.793E-2,6.892,5.258,1.579,0.765,0.093,0.381,0.507,1.851,1.014,0.047,0.132,0.044,0.030,0.922,0.967,0.585
366,860,29,137,165,NORM. DIFFUSION,4.874E-2,6.130,6.910,1.703,0.579,0.022,0.169,0.425,1.734,0.653,-0.034,0.278,0.219,0.031,0.681,0.828,0.628
370,873,20,137,156,NORM. DIFFUSION,1.255E-2,3.634,3.696,2.246,-0.227,0.002,0.051,0.072,1.824,0.412,0.309,0.160,0.282,0.041,0.770,0.568,0.616
375,888,17,137,153,NORM. DIFFUSION,1.274E-1,1.106,7.718,1.947,0.985,0.001,0.038,0.095,1.336,0.943,0.266,0.381,-0.016,0.024,0.840,0.838,0.571
376,891,14,166,179,NORM. DIFFUSION,1.753E-2,3.889,7.566,1.729,0.900,0.062,0.333,0.370,1.853,0.724,-0.109,0.361,0.358,0.030,0.962,0.979,0.583
