PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
243,586,18,125,142,SUBDIFFUSION,1.58E-3,1.658,7.384,2.273,0.995,0.004,0.072,0.089,2.843,1.195E-11,-0.150,0.386,1.539,0.033,-0.054,-0.054,0.592
246,595,16,83,98,SUBDIFFUSION,5.367E-3,5.768,4.985,2.237,0.891,0.022,0.177,0.227,1.392,0.358,-0.097,0.194,0.368,0.035,0.883,0.883,0.652
249,600,12,83,94,SUBDIFFUSION,1.07E-2,1.513,7.397,2.251,0.457,0.006,0.092,0.138,1.865,0.527,-0.126,0.175,-0.004,0.031,0.499,0.499,0.582
250,604,16,101,116,SUBDIFFUSION,1.628E-3,1.962,7.175,2.332,0.446,0.014,0.154,0.163,1.754,1.699E-10,-0.107,0.122,0.708,0.030,-0.065,-0.065,0.624
256,613,28,109,136,SUBDIFFUSION,2.317E-3,5.397,6.514,2.337,0.182,0.006,0.093,0.104,1.916,0.165,0.258,0.144,0.493,0.034,0.261,0.261,0.652
263,628,27,113,139,SUBDIFFUSION,4.374E-3,3.290,5.373,3.048,0.981,0.003,0.066,0.094,1.791,0.193,0.281,0.193,0.625,0.038,0.364,0.364,0.611
263,630,17,150,166,SUBDIFFUSION,1.096E-3,3.581,5.849,2.652,0.982,0.007,0.096,0.095,2.492,1.199E-13,-0.267,0.007,2.487,0.032,-0.059,-0.059,0.581
263,632,17,183,199,SUBDIFFUSION,1.606E-2,3.664,5.729,2.037,0.504,0.029,0.195,0.248,1.683,0.804,-0.273,0.235,0.043,0.035,0.899,0.899,0.616
264,635,12,85,96,SUBDIFFUSION,1.086E-3,3.317,2.893,1.868,0.212,0.067,0.322,0.309,4.024,6.321E-12,0.061,0.253,2.618,0.022,-0.105,-0.105,0.724
277,664,16,90,105,SUBDIFFUSION,2.518E-3,4.080,7.358,2.337,-0.227,0.018,0.158,0.181,2.765,0.234,-0.247,0.093,0.150,0.036,0.033,0.033,0.623
277,666,15,127,141,SUBDIFFUSION,1.764E-3,3.928,7.445,1.820,0.442,0.045,0.256,0.311,3.017,3.243E-11,0.237,0.243,1.252,0.034,-0.071,-0.071,0.600
281,667,28,99,126,SUBDIFFUSION,3.024E-3,7.699,0.134,2.767,-0.227,0.010,0.115,0.159,2.366,0.169,-0.019,0.089,1.145,0.036,0.085,0.085,0.708
281,669,11,141,151,SUBDIFFUSION,1.971E-3,7.244,0.316,1.926,0.900,0.017,0.175,0.204,2.069,7.672E-12,-0.131,0.295,1.200,0.043,-0.125,-0.125,0.559
282,674,27,112,138,SUBDIFFUSION,7.973E-3,6.794,0.850,2.220,0.905,3.278E-4,0.024,0.026,5.122,0.546,0.163,0.047,0.253,0.030,0.857,0.857,0.547
284,679,12,100,111,SUBDIFFUSION,1.443E-3,3.690,2.853,1.999,0.352,0.033,0.201,0.175,2.440,0.243,-0.193,0.147,0.319,0.020,0.662,0.662,0.602
285,681,13,93,105,SUBDIFFUSION,1.768E-2,0.975,4.883,2.217,-0.227,0.006,0.100,0.253,1.623,0.243,0.621,0.147,0.382,0.071,0.496,0.496,0.573
290,692,18,104,121,SUBDIFFUSION,2.194E-3,5.267,2.476,2.607,0.735,0.002,0.048,0.040,2.746,0.354,0.212,0.013,0.682,0.027,0.443,0.443,0.646
291,697,15,119,133,SUBDIFFUSION,6.033E-3,3.568,3.051,2.359,-0.227,0.006,0.098,0.109,1.713,0.489,0.060,0.097,0.479,0.035,0.483,0.483,0.661
297,705,12,105,116,SUBDIFFUSION,8.947E-2,6.600,6.133,1.801,0.972,0.017,0.159,0.333,1.619,0.991,-0.104,0.073,0.042,0.061,0.980,0.980,0.543
306,725,11,108,118,SUBDIFFUSION,1.169E-2,4.858,6.487,1.875,0.764,0.012,0.142,0.204,1.983,0.519,0.008,0.289,0.296,0.042,0.997,0.997,0.670
307,726,43,101,143,SUBDIFFUSION,5.675E-3,5.664,7.695,2.307,0.266,7.804E-4,0.033,0.036,2.849,0.506,0.020,0.242,0.273,0.034,0.862,0.862,0.625
309,735,11,120,130,SUBDIFFUSION,7.383E-3,3.796,1.604,2.247,-0.227,0.017,0.164,0.288,2.046,0.260,0.348,0.388,1.143,0.062,0.098,0.098,0.698
309,737,11,159,169,SUBDIFFUSION,7.931E-4,3.167,2.600,2.141,0.923,0.022,0.182,0.152,3.281,1.656E-11,-0.138,0.110,1.200,0.030,-0.125,-0.125,0.567
318,761,17,115,131,SUBDIFFUSION,4.258E-3,6.584,3.198,2.593,0.891,0.018,0.158,0.298,1.616,0.007,0.111,0.010,0.411,0.034,-0.059,-0.059,0.598
322,767,12,112,123,SUBDIFFUSION,3.449E-3,2.193,6.273,2.818,-0.227,0.022,0.163,0.195,1.846,0.338,-0.380,0.045,2.103,0.035,0.625,0.625,0.672
323,769,11,112,122,SUBDIFFUSION,2.446E-3,5.247,7.193,2.227,-0.227,0.003,0.066,0.068,1.966,0.301,-0.009,0.326,0.629,0.036,-0.015,-0.015,0.550
337,805,14,119,132,SUBDIFFUSION,2.613E-3,2.583,7.709,1.910,-0.227,0.040,0.253,0.450,2.995,6.584E-13,0.295,0.310,6.569,0.057,-0.083,-0.083,0.532
340,806,11,121,131,SUBDIFFUSION,3.906E-3,7.211,2.255,2.494,0.979,0.010,0.113,0.152,1.792,0.250,-0.220,0.169,0.329,0.033,0.058,0.058,0.554
341,812,36,160,195,SUBDIFFUSION,1.972E-3,3.804,5.233,2.623,0.412,0.002,0.057,0.070,2.628,0.038,0.465,0.016,1.314,0.042,-0.010,-0.010,0.579
343,819,11,142,152,SUBDIFFUSION,3.271E-2,1.651,6.036,2.962,0.891,0.009,0.120,0.414,2.468,0.279,0.361,0.051,0.965,0.086,0.909,0.909,0.595
352,832,11,124,134,SUBDIFFUSION,5.484E-3,7.524,6.244,2.108,0.997,0.023,0.189,0.347,2.425,0.060,0.234,0.066,0.585,0.059,-0.122,-0.122,0.486
