PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) CONF. RADIUS,(FIT) A [CONF. SHAPE],(FIT) B (CONF SHAPE),(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
9,24,11,0,10,CONFINED,0.102,1.101,0.303,1.04E-1,2.073,6.309,3.611,0.992,0.030,0.189,0.215,1.162,0.393,-0.333,0.026,0.400,0.015,1.000,0.653,0.488
142,358,18,118,135,CONFINED,0.050,0.027,0.054,1.62E-12,7.653,6.644,3.318,-0.227,0.002,0.044,0.040,3.258,1.379E-13,-0.098,0.033,1.976,0.031,-0.121,-0.054,0.766
174,428,10,61,70,CONFINED,0.072,0.014,0.027,5.094E-12,6.856,0.976,3.723,-0.227,0.012,0.127,0.151,1.653,6.867E-13,-0.388,0.076,1.689,0.043,-0.444,-0.143,0.783
191,456,10,104,113,CONFINED,0.106,0.011,0.011,7.28E-12,7.228,2.992,3.097,-0.227,0.017,0.151,0.272,1.166,8.638E-12,-0.203,0.053,8.133,0.056,-0.444,-0.143,0.725
272,655,13,89,101,CONFINED,0.170,31282.784,9.697E-4,1.395E3,6.034,4.320,3.685,1.000,0.004,0.068,0.127,1.729,5.020E-10,-0.248,0.014,0.665,0.045,0.990,-0.087,0.632
272,657,12,116,127,CONFINED,0.111,0.017,0.017,4.736E-11,5.937,4.333,3.623,-0.227,0.004,0.077,0.138,2.062,1.041E-11,-0.055,0.007,2.739,0.060,-0.267,-0.105,0.813
282,673,14,98,111,CONFINED,0.117,25596.126,0.023,3.019E1,6.734,0.894,1.791,0.494,0.030,0.215,0.331,4.192,7.890E-12,0.269,0.321,4.621,0.031,0.353,-0.083,0.623
313,744,11,109,119,CONFINED,0.094,0.003,0.073,7.861E-8,6.007,6.255,3.297,-0.227,0.002,0.045,0.068,1.596,0.076,-0.152,0.036,1.486,0.044,-0.364,-0.086,0.516
351,831,11,139,149,CONFINED,0.055,0.015,0.009,1.555E-12,2.116,6.295,5.156,-0.227,0.008,0.099,0.096,1.675,1.605E-11,-0.366,0.004,2.000,0.030,-0.364,-0.125,0.859
354,833,14,128,141,CONFINED,0.117,0.017,0.016,7.187E-12,3.500,7.891,3.123,0.971,6.676E-4,0.032,0.052,1.256,0.248,0.389,0.404,0.715,0.043,-0.211,0.009,0.558
370,875,30,175,204,CONFINED,0.085,0.011,0.012,1.249E-11,3.464,3.785,2.789,-0.227,0.005,0.096,0.105,2.550,0.005,1.049,0.116,0.386,0.046,-0.054,-0.025,0.680
451,1033,11,187,197,CONFINED,0.286,0.663,3.079,3.786E-2,7.836,4.840,4.422,0.935,3.380E-4,0.021,0.068,1.557,0.206,-0.244,0.032,2.139,0.116,1.000,0.735,0.894
467,1067,11,190,200,CONFINED,0.145,0.018,0.049,6.047E-12,5.462,2.600,3.036,0.336,0.001,0.045,0.096,2.424,2.328E-11,-0.136,0.273,4.000,0.075,-0.364,-0.125,0.650
489,1116,13,214,226,CONFINED,0.081,0.421,2.021,7.094E-3,7.375,0.729,3.795,0.685,0.010,0.113,0.127,1.557,1.289E-10,-0.083,0.199,0.571,0.035,1.000,-0.087,0.667
576,1293,13,268,280,CONFINED,0.094,0.017,0.018,2.493E-11,6.548,1.449,3.792,-0.227,0.004,0.076,0.113,2.265,7.722E-12,-0.331,0.136,1.562,0.061,-0.222,-0.087,0.771
