"t","mean","sd","n","pred","condition"
0.0600351989269257,0.0136674730999341,0.00447773970612542,15,0.0140937409013888,"ATG9A"
0.120070397853851,0.0283506896817039,0.00969582768456491,15,0.0278931281479082,"ATG9A"
0.180105596780777,0.0420561957312001,0.0143026913022862,15,0.0416925153944276,"ATG9A"
0.240140795707703,0.0550969285718335,0.0187516197738103,15,0.0554919026409471,"ATG9A"
0.300175994634628,0.0684621258281264,0.0233747595026152,15,0.0692912898874665,"ATG9A"
0.360211193561554,0.081797827865488,0.0287863457698704,15,0.0830906771339859,"ATG9A"
0.42024639248848,0.095393966523009,0.0340839471695024,15,0.0968900643805054,"ATG9A"
0.480281591415405,0.107987716261992,0.0388205537800418,15,0.110689451627025,"ATG9A"
0.540316790342331,0.120754541426557,0.0444934611999302,15,0.124488838873544,"ATG9A"
0.600351989269257,0.133001269620786,0.049044939032191,15,0.138288226120064,"ATG9A"
0.660387188196182,0.143340313838888,0.054470845306713,15,0.152087613366583,"ATG9A"
0.720422387123108,0.154514008728225,0.0607770036056146,15,0.165887000613103,"ATG9A"
0.780457586050034,0.163049763366112,0.0671630891090263,14,0.179686387859622,"ATG9A"
0.840492784976959,0.163251372508629,0.0640735902033699,13,0.193485775106141,"ATG9A"
0.900527983903885,0.161494537737156,0.0552194505060575,12,0.207285162352661,"ATG9A"
0.96056318283081,0.170120634615441,0.0635514102720386,11,0.22108454959918,"ATG9A"
1.02059838175774,0.157069525815088,0.0633463157033389,8,0.2348839368457,"ATG9A"
1.08063358068466,0.146196728045843,0.0418713052852532,7,0.248683324092219,"ATG9A"
1.14066877961159,0.15176649774723,0.0452066350943763,7,0.262482711338739,"ATG9A"
1.20070397853851,0.16018504952112,0.0468627701453438,7,0.276282098585258,"ATG9A"
0.0700273588299751,0.0110946531883914,0.00604542635868442,14,0.0114452246882549,"Clathrin"
0.14005471765995,0.0207939202764313,0.0128333730671609,14,0.0204664810488779,"Clathrin"
0.210082076489925,0.0298845734539843,0.0191395953557764,14,0.0294877374095009,"Clathrin"
0.2801094353199,0.0381352899979504,0.0241650312348837,14,0.0385089937701239,"Clathrin"
0.350136794149876,0.046942028865863,0.029467829063424,14,0.0475302501307469,"Clathrin"
0.420164152979851,0.0554187354930431,0.0350214382955826,14,0.0565515064913699,"Clathrin"
0.490191511809826,0.0652608025472682,0.041512169723634,14,0.0655727628519929,"Clathrin"
0.560218870639801,0.0709640222177726,0.04719125851379,14,0.0745940192126159,"Clathrin"
0.630246229469776,0.0755758480876609,0.0522261575977655,14,0.0836152755732388,"Clathrin"
0.700273588299751,0.0820303157311681,0.0595579201020806,14,0.0926365319338619,"Clathrin"
0.770300947129726,0.0897903305985106,0.0663053811346122,14,0.101657788294485,"Clathrin"
