 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
151,1135.080,1459.158,102.525,1668.528
152,1132.489,1462.196,102.607,1670.030
153,1131.524,1459.801,102.666,1669.951
154,1134.424,1454.418,102.680,1669.630
155,1134.469,1457.180,102.817,1672.461
156,1133.717,1453.649,102.811,1674.041
157,1133.219,1457.839,102.726,1673.566
158,1135.526,1455.199,102.684,1670.332
159,1129.848,1457.292,102.716,1669.674
160,1130.119,1456.351,102.726,1670.362
161,1129.106,1458.759,102.514,1670.554
162,1131.906,1451.827,102.853,1666.951
163,1130.705,1453.115,102.799,1669.871
164,1127.669,1454.125,102.822,1670.476
165,1128.392,1452.663,102.623,1666.799
166,1128.608,1453.741,102.697,1673.113
167,1126.681,1450.860,102.690,1672.104
168,1127.829,1452.891,102.759,1668.861
169,1124.138,1449.693,102.686,1667.616
170,1124.974,1449.702,102.605,1664.942
171,1122.664,1448.159,102.667,1665.147
172,1126.328,1451.095,102.571,1666.958
173,1121.801,1451.703,102.693,1663.547
174,1122.919,1451.538,102.747,1666.158
175,1125.831,1452.720,102.735,1661.232
176,1127.342,1453.269,102.666,1666.555
177,1121.829,1450.297,102.638,1662.347
178,1127.206,1444.808,102.794,1663.422
179,1127.685,1451.961,102.890,1659.101
180,1125.061,1448.965,102.889,1664.291
181,1119.931,1449.970,102.727,1665.860
182,1122.971,1451.422,102.711,1661.940
183,1127.038,1449.732,102.743,1661.975
184,1123.850,1446.369,102.613,1664.092
185,1126.797,1450.024,102.688,1658.105
186,1128.583,1446.949,102.705,1659.484
187,1128.769,1452.013,102.655,1660.232
188,1125.889,1451.191,102.642,1659.319
189,1125.731,1449.558,102.715,1655.708
190,1127.771,1446.701,102.551,1657.014
191,1130.716,1448.013,102.688,1658.184
192,1127.205,1448.414,102.562,1659.248
193,1127.153,1449.387,102.603,1659.406
194,1126.626,1451.079,102.602,1656.128
195,1124.412,1444.279,102.757,1654.531
196,1124.025,1442.638,102.796,1661.417
197,1122.859,1443.255,102.812,1661.020
198,1123.296,1444.916,102.883,1654.124
199,1125.132,1441.401,102.712,1654.464
200,1126.605,1443.065,102.671,1658.069
201,1128.265,1444.400,102.629,1655.017
202,1127.877,1444.977,102.720,1654.202
203,1127.150,1447.248,102.627,1656.735
204,1128.020,1443.558,102.731,1654.043
205,1125.805,1440.264,102.776,1654.877
206,1129.038,1446.606,102.801,1657.811
207,1126.409,1444.500,102.568,1656.234
