 ,Time(s)
1,0.008
2,1.009
3,2.010
4,2.302
5,2.449
6,2.596
7,2.743
8,2.890
9,3.037
10,3.184
11,3.331
12,3.478
13,3.625
14,3.771
15,3.919
16,4.066
17,4.213
18,4.360
19,4.507
20,4.654
21,4.801
22,4.948
23,5.095
24,5.242
25,5.388
26,5.535
27,5.683
28,5.829
29,5.976
30,6.124
31,6.271
32,6.417
33,6.564
34,6.711
35,6.858
36,7.005
37,7.152
38,7.299
39,7.446
40,7.593
41,7.740
42,7.887
43,8.070
44,8.217
45,8.364
46,8.511
47,8.658
48,8.805
49,8.952
50,9.099
51,9.247
52,9.393
53,9.540
54,9.687
55,9.834
56,9.981
57,10.128
58,10.275
59,10.422
60,10.569
61,10.716
62,10.862
63,11.009
64,11.156
65,11.303
66,11.450
67,11.597
68,11.744
69,11.890
70,12.037
71,12.184
72,12.331
73,12.478
74,12.625
75,12.772
76,12.919
77,13.066
78,13.213
79,13.360
80,13.507
81,13.654
82,13.801
83,13.948
84,14.095
85,14.242
86,14.389
87,14.535
88,14.682
89,14.829
90,14.976
91,15.123
92,15.269
93,15.416
94,15.563
95,15.710
96,15.857
97,16.003
98,16.150
99,16.298
100,16.445
101,16.592
102,16.739
103,16.886
104,17.033
105,17.180
106,17.327
107,17.474
108,17.621
109,17.768
110,17.915
111,18.062
112,18.208
113,18.355
114,18.502
115,18.649
116,18.796
117,18.943
118,19.090
119,19.237
120,19.384
121,19.531
122,19.678
123,19.825
124,19.972
125,20.119
126,20.266
127,20.413
128,20.560
129,20.707
130,20.854
131,21.001
132,21.148
133,21.295
134,21.442
135,21.589
136,21.736
137,21.882
138,22.029
139,22.177
140,22.324
141,22.471
142,22.618
143,22.765
144,22.911
145,23.059
146,23.205
147,23.353
148,23.500
149,23.646
150,23.793
151,23.940
152,24.087
153,24.234
154,24.381
155,24.528
156,24.675
157,24.822
158,24.969
159,25.116
160,25.263
161,25.410
162,25.557
163,25.703
164,25.850
165,25.997
166,26.144
167,26.291
168,26.438
169,26.585
170,26.732
171,26.879
172,27.026
173,27.173
174,27.319
175,27.466
176,27.614
177,27.760
178,27.907
179,28.054
180,28.201
181,28.348
182,28.495
183,28.642
184,28.789
185,28.935
186,29.082
187,29.229
188,29.376
189,29.523
190,29.670
191,29.817
192,29.964
193,30.110
194,30.257
195,30.404
196,30.551
197,30.698
198,30.845
199,30.992
200,31.139
201,31.286
202,31.433
203,31.580
204,31.727
205,31.874
206,32.020
207,32.167
